"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-01","2022","01","01","†","-9.0","","-14.0","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-02","2022","01","02","†","-3.0","","-14.0","","-8.5","","26.5","","0.0","","0.0","","60.0","","60.0","","6","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-03","2022","01","03","†","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","66","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-04","2022","01","04","†","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","2.0","","2.0","","51","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-05","2022","01","05","†","1.0","","-7.0","","-3.0","","21.0","","0.0","","0.0","","18.0","","18.0","","45","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-06","2022","01","06","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","6.0","","6.0","","42","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-07","2022","01","07","†","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","3.0","","3.0","","36","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-08","2022","01","08","†","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-09","2022","01","09","†","1.0","","-6.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-10","2022","01","10","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-11","2022","01","11","†","1.5","","-4.0","","-1.3","","19.3","","0.0","","2.0","","6.6","","8.6","","27","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-12","2022","01","12","†","3.0","","-2.0","","0.5","","17.5","","0.0","","6.6","","0.0","","6.6","","30","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-13","2022","01","13","†","3.5","","0.0","","1.8","","16.2","","0.0","","0.4","","0.0","","0.4","","20","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-14","2022","01","14","†","3.5","","1.0","","2.3","","15.7","","0.0","","0.4","","0.0","","0.4","","12","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-15","2022","01","15","†","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","9","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-16","2022","01","16","†","4.0","","1.0","","2.5","","15.5","","0.0","","0.0","T","0.0","","0.0","T","4","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-17","2022","01","17","†","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-18","2022","01","18","†","5.0","","3.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-19","2022","01","19","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","6.0","","6.0","","3","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-20","2022","01","20","†","3.0","","-0.5","","1.3","","16.7","","0.0","","0.0","","1.0","","1.0","","6","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-21","2022","01","21","†","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-22","2022","01","22","†","3.0","","1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-23","2022","01","23","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-24","2022","01","24","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-25","2022","01","25","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-117.77","49.34","CASTLEGAR BCHPA DAM","1141457","2022-01-26","2022","01","26","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
