"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2021-01-01","2021","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-02","2021","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-03","2021","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-04","2021","01","04","†","2.5","","-1.0","","0.8","","17.2","","0.0","","0.0","","3.6","","3.6","","33","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-05","2021","01","05","†","4.5","","0.5","","2.5","","15.5","","0.0","","0.0","","0.8","","0.8","","37","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-06","2021","01","06","†","2.0","","-0.5","","0.8","","17.2","","0.0","","2.8","","0.4","","3.2","","38","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-07","2021","01","07","†","2.5","","-1.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-08","2021","01","08","†","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-09","2021","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-10","2021","01","10","†","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-11","2021","01","11","†","4.5","","0.0","","2.3","","15.7","","0.0","","0.0","","1.2","","1.2","","34","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-12","2021","01","12","†","4.0","","0.0","","2.0","","16.0","","0.0","","38.4","","0.2","","38.6","","34","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-13","2021","01","13","†","7.0","","0.5","","3.8","","14.2","","0.0","","4.4","","0.0","","4.4","","34","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-14","2021","01","14","†","3.0","","-7.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-15","2021","01","15","†","4.5","","-6.5","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-16","2021","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-17","2021","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-18","2021","01","18","†","1.5","","-10.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-19","2021","01","19","†","1.5","","-11.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-20","2021","01","20","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-21","2021","01","21","†","1.5","","-14.5","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-22","2021","01","22","†","-5.0","","-19.5","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-23","2021","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-24","2021","01","24","†","-3.0","","-14.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-25","2021","01","25","†","-2.0","","-14.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-26","2021","01","26","†","-5.5","","-17.0","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-27","2021","01","27","†","3.5","","-9.5","","-3.0","","21.0","","0.0","","0.0","","11.6","","11.6","","31","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-28","2021","01","28","†","2.0","","-9.5","","-3.8","","21.8","","0.0","","0.0","","5.8","","5.8","","43","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-29","2021","01","29","†","5.5","","-2.0","","1.8","","16.2","","0.0","","0.0","","5.4","","5.4","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-30","2021","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-01-31","2021","01","31","†","2.5","","-4.5","","-1.0","","19.0","","0.0","","0.0","","2.0","","2.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2021-02-01","2021","02","01","†","8.5","","-0.5","","4.0","","14.0","","0.0","","9.8","","0.0","","9.8","","49","","","","",""
