"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","1913-01","1913","01","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-02","1913","02","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-03","1913","03","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-04","1913","04","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-05","1913","05","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-06","1913","06","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-07","1913","07","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-08","1913","08","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-09","1913","09","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-10","1913","10","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-11","1913","11","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.07","49.49","FERNIE","1152850","1913-12","1913","12","","","","","","","","","","","0.0","","38.6","","38.6","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-01","1914","01","0.9","","-7.9","","-3.5","","8.3","","-20.6","","103.9","","175.8","","279.7","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-02","1914","02","-2.1","","-12.7","","-7.4","","6.1","","-32.8","","12.2","","19.3","","31.5","","","","","","",""
"-115.07","49.49","FERNIE","1152850","1914-03","1914","03","4.8","","-5.3","","-0.3","","11.7","S","-21.1","","30.0","","44.5","","74.4","","","","","","",""
