"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.98","51.30","GOLDEN A","1173210","2020-01-01","2020","01","01","†","-2.5","","-8.0","","-5.3","","23.3","","0.0","","0.0","","4.8","","2.6","","39","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-02","2020","01","02","†","-4.5","","-11.0","","-7.8","","25.8","","0.0","","0.0","","5.0","","4.0","","40","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-03","2020","01","03","†","3.0","","-9.5","","-3.3","","21.3","","0.0","","0.0","","4.6","","3.0","","43","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-04","2020","01","04","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","T","0.0","T","0.0","T","44","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-05","2020","01","05","†","0.5","","-6.5","","-3.0","","21.0","","0.0","","0.0","","1.4","","1.0","","41","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-06","2020","01","06","†","-3.5","","-8.5","","-6.0","","24.0","","0.0","","0.0","","0.4","","0.0","","41","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-07","2020","01","07","†","-1.5","","-6.5","","-4.0","","22.0","","0.0","","0.0","","11.6","","9.4","","40","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-08","2020","01","08","†","1.0","","-4.0","","-1.5","","19.5","","0.0","","0.0","","2.4","","1.2","","51","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-09","2020","01","09","†","-6.5","","-18.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","","48","","","","",""
"-116.98","51.30","GOLDEN A","1173210","2020-01-10","2020","01","10","†","-8.0","","-18.5","","-13.3","","31.3","","0.0","","0.0","","1.4","","1.8","","48","","","","",""
