"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-116.98","51.30","GOLDEN A","1173210","1902-01","1902","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-02","1902","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-03","1902","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-04","1902","04","13.9","","-2.4","","5.8","","17.8","","-10.0","","19.1","","7.1","","26.2","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-05","1902","05","18.8","","4.7","","11.8","","28.3","","-2.8","","24.6","","0.0","","24.6","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-06","1902","06","19.6","","4.9","","12.3","","27.8","","-1.7","","51.6","","0.0","","51.6","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-07","1902","07","24.3","","7.4","","15.9","","31.7","S","3.9","","15.5","","0.0","","15.5","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-08","1902","08","23.7","","6.6","","15.2","","31.7","","-2.2","","26.7","","0.0","","26.7","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-09","1902","09","17.5","","2.8","","10.2","","26.1","","-2.2","","42.4","","0.0","","42.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-10","1902","10","14.1","","-0.2","","7.0","","21.1","","-3.9","","7.6","","0.0","","7.6","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-11","1902","11","1.0","","-7.1","","-3.1","","7.8","","-19.4","","79.2","","40.6","","119.9","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1902-12","1902","12","-4.9","","-13.7","","-9.3","","","M","-27.2","","25.4","","58.4","","83.8","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-01","1903","01","-3.6","","-13.6","","-8.6","","6.7","","-28.9","","6.4","","29.5","","35.8","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-02","1903","02","-1.6","","-17.6","","-9.6","","7.2","","-29.4","","0.0","","8.4","","8.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-03","1903","03","2.9","","-13.9","","-5.5","","12.8","","-31.1","","0.0","","44.5","","44.5","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-04","1903","04","12.6","","-2.4","","5.1","","","M","","M","4.6","","2.5","","7.1","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-05","1903","05","18.8","","2.4","","10.6","","31.7","","","M","15.0","","0.0","","15.0","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-06","1903","06","24.4","","8.2","","16.3","","30.6","S","","M","6.1","","0.0","","6.1","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-07","1903","07","23.2","","8.0","","15.6","","32.8","","3.9","","42.4","","0.0","","42.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-08","1903","08","22.3","","8.2","","15.3","","","M","","M","45.5","","0.0","","45.5","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-09","1903","09","15.3","","2.2","","8.8","","","M","-3.9","","82.0","","0.0","","82.0","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-10","1903","10","12.3","","-1.3","","5.5","","","M","","M","17.3","","0.0","","17.3","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-11","1903","11","0.9","","-6.9","","-3.0","","15.6","","-23.3","","8.4","","17.3","","25.7","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1903-12","1903","12","-1.3","","-8.7","","-5.0","","7.2","","","M","8.9","","30.5","","39.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-01","1904","01","-3.1","","-13.6","","","M","6.1","","-30.0","","2.5","","27.9","","30.5","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-02","1904","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-03","1904","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-04","1904","04","16.6","","-1.7","","7.5","","26.7","","-11.1","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-05","1904","05","18.7","","2.8","","10.8","","26.1","","-4.4","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-06","1904","06","20.8","","5.8","","13.3","","29.4","","-1.7","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-07","1904","07","26.4","","8.4","","17.4","","33.3","","1.7","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-08","1904","08","24.5","","6.3","","15.4","","30.6","","1.7","S","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-09","1904","09","18.2","","2.4","","10.3","","27.8","","-3.9","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-10","1904","10","12.8","","-0.6","","6.1","","22.8","","-7.2","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-11","1904","11","6.3","","-1.8","","2.3","","12.8","S","-8.3","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1904-12","1904","12","-0.1","","-9.3","","-4.7","","4.4","S","-26.1","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-01","1905","01","-3.2","","-15.1","","-9.2","","6.1","","-33.3","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-02","1905","02","-3.7","","-19.8","","-11.8","","10.0","S","-38.3","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-03","1905","03","9.7","","-1.9","","3.9","","14.4","S","-9.4","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-04","1905","04","14.3","","-1.7","","6.3","","25.0","","-6.7","S","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-05","1905","05","18.7","","1.9","","10.3","","26.1","","-3.3","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-06","1905","06","20.9","","6.4","","13.7","","28.9","","1.1","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-07","1905","07","26.2","","9.3","","17.8","","33.3","S","4.4","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-08","1905","08","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-09","1905","09","17.3","","4.9","","11.1","","26.7","","-1.7","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-10","1905","10","7.1","","-2.9","","2.1","","12.8","","-13.9","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-11","1905","11","2.2","","-5.2","","-1.5","","9.4","","-17.2","S","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1905-12","1905","12","-0.6","","-8.4","","-4.5","","7.2","","-20.6","S","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-01","1906","01","-2.4","","-12.6","","-7.5","","8.3","S","-23.9","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-02","1906","02","1.7","","-8.4","","-3.4","","6.1","S","-22.8","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-03","1906","03","6.1","","-9.0","","-1.5","","17.2","","-22.2","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-04","1906","04","16.4","","0.2","","8.3","","23.3","","-6.7","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-05","1906","05","19.0","","3.2","","11.1","","26.7","S","-5.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-06","1906","06","20.2","","5.9","","13.1","","30.0","","0.6","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-07","1906","07","29.2","","10.4","","19.8","","34.4","","5.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-08","1906","08","24.5","","6.4","","15.5","","32.8","","1.7","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-09","1906","09","17.7","","3.6","","10.7","","26.7","S","-2.2","S","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-10","1906","10","","M","","M","","M","","M","","M","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-11","1906","11","0.2","","-7.4","","-3.6","","7.8","","-20.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1906-12","1906","12","-2.9","","-11.8","","-7.4","","4.4","","-26.1","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-01","1907","01","-15.9","","-28.9","","-22.4","","1.1","","-46.1","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-02","1907","02","-1.3","","-11.2","","-6.3","","7.2","S","-39.4","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-03","1907","03","3.3","","-9.2","","-3.0","","8.3","","-20.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-04","1907","04","9.2","","-2.9","","3.2","","15.6","S","-10.6","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-05","1907","05","17.3","","1.4","","9.4","","23.3","","-5.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-06","1907","06","20.3","","5.5","","12.9","","30.0","","-1.1","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-07","1907","07","23.8","","7.6","","15.7","","30.0","","3.9","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-08","1907","08","19.5","","6.7","","13.1","","29.4","","0.6","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-09","1907","09","16.2","","3.5","","9.9","","23.9","","-3.9","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-10","1907","10","13.1","","-0.2","","6.5","","17.8","","-5.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-11","1907","11","3.3","","-3.1","","0.1","","8.9","","-20.0","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1907-12","1907","12","-2.3","","-10.7","","-6.5","","3.9","S","-30.6","","","","","","","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-01","1908","01","-2.7","","-15.6","","-9.2","","3.9","S","-31.7","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-02","1908","02","-2.4","","-16.1","","-9.3","","4.4","","-32.2","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-03","1908","03","3.3","","-7.1","","-1.9","","7.8","S","-22.8","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-04","1908","04","11.4","","-1.2","","5.1","","18.3","","-13.3","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-05","1908","05","17.7","","4.0","","10.9","","24.4","","-2.8","","","M","","M","","M","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-06","1908","06","21.1","","6.3","","13.7","","27.8","","3.3","","27.9","","0.0","","27.9","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-07","1908","07","25.1","","8.7","","16.9","","32.8","","3.9","S","27.9","","0.0","","27.9","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-08","1908","08","24.0","","6.4","","15.2","","31.7","","0.0","","9.4","","0.0","","9.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-09","1908","09","18.2","","3.3","","10.8","","25.0","S","-5.6","","23.4","","0.0","","23.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-10","1908","10","10.3","","-1.7","","4.3","","18.3","","-6.1","S","27.9","","17.8","","45.7","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-11","1908","11","5.6","","-4.3","","0.7","","15.6","","-15.0","","34.8","","10.2","","45.0","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1908-12","1908","12","-5.2","","-13.8","","-9.5","","3.3","","-23.9","S","0.8","","29.5","","30.2","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-01","1909","01","-11.4","","-21.6","","-16.5","","3.3","S","-43.9","","2.5","","85.1","","87.6","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-02","1909","02","-1.3","","-11.7","","-6.5","","7.2","","-29.4","","2.3","","26.2","","28.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-03","1909","03","6.7","","-7.3","","-0.3","","13.9","","-18.3","","25.4","","3.8","","29.2","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-04","1909","04","9.1","","-3.5","","2.8","","15.0","","-7.8","","0.0","","10.2","","10.2","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-05","1909","05","16.3","","1.4","","8.9","","22.8","","-5.0","","14.0","","0.0","","14.0","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-06","1909","06","21.5","","5.7","","13.6","","28.3","","0.0","S","56.9","","0.0","","56.9","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-07","1909","07","24.7","","6.9","","15.8","","30.6","","1.7","","39.4","","0.0","","39.4","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-08","1909","08","23.4","","5.0","","14.2","","29.4","S","-0.6","","30.0","","0.0","","30.0","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-09","1909","09","19.2","","3.9","","11.6","","28.3","","-1.7","","39.1","","0.0","","39.1","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-10","1909","10","9.4","","0.0","","4.7","","16.1","","-3.9","S","31.8","","0.0","","31.8","","","","","","",""
"-116.98","51.30","GOLDEN A","1173210","1909-11","1909","11","0.6","","-5.9","","-2.7","","7.2","","-17.8","","36.3","","96.5","","132.8","","","","","","",""
