"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.77","49.00","MIDWAY","1135126","2020-01-01","2020","01","01","†","4.5","","-3.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-02","2020","01","02","†","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","4.0","","4.0","","7","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-03","2020","01","03","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-04","2020","01","04","†","7.5","","-2.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-05","2020","01","05","†","3.5","","-6.0","","-1.3","","19.3","","0.0","","0.0","","3.0","","3.0","","2","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-06","2020","01","06","†","-0.5","","-6.0","","-3.3","","21.3","","0.0","","0.0","","13.0","","13.0","","5","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-07","2020","01","07","†","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","13","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-08","2020","01","08","†","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-09","2020","01","09","†","1.5","","-13.0","","-5.8","","23.8","","0.0","","0.0","","8.0","","8.0","","10","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-10","2020","01","10","†","-4.0","","-13.0","","-8.5","","26.5","","0.0","","0.0","","10.0","","10.0","","18","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-11","2020","01","11","†","0.0","","-5.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-12","2020","01","12","†","0.5","","-6.0","","-2.8","","20.8","","0.0","","0.0","","5.0","","5.0","","20","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-13","2020","01","13","†","-13.0","","-18.0","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","21","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-14","2020","01","14","†","-12.0","","-17.0","","-14.5","","32.5","","0.0","","0.0","","1.0","","1.0","","19","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-15","2020","01","15","†","-11.0","","-20.0","","-15.5","","33.5","","0.0","","0.0","","7.0","","7.0","","19","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-16","2020","01","16","†","-4.0","","-14.0","","-9.0","","27.0","","0.0","","0.0","","7.0","","7.0","","25","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-17","2020","01","17","†","-2.5","","-13.0","","-7.8","","25.8","","0.0","","0.0","","2.0","","2.0","","30","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-18","2020","01","18","†","-4.0","","-13.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-19","2020","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-20","2020","01","20","†","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-21","2020","01","21","†","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-22","2020","01","22","†","1.0","","-3.5","","-1.3","","19.3","","0.0","","1.2","","0.0","","1.2","","17","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-23","2020","01","23","†","6.5","","-1.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-118.77","49.00","MIDWAY","1135126","2020-01-24","2020","01","24","†","9.0","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
