"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.82","50.27","NAKUSP CS","1145297","2022-01-01","2022","01","01","","-10.0","","-15.3","","-12.7","","30.7","","0.0","","","","","","0.0","","31","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-02","2022","01","02","","-6.6","","-11.7","","-9.2","","27.2","","0.0","","","","","","4.4","","30","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-03","2022","01","03","","-2.2","","-7.3","","-4.7","","22.7","","0.0","","","","","","9.4","","39","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-04","2022","01","04","","-1.0","","-5.9","","-3.5","","21.5","","0.0","","","","","","2.9","","42","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-05","2022","01","05","","-4.2","","-9.4","","-6.8","","24.8","","0.0","","","","","","0.0","","43","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-06","2022","01","06","","-7.7","","-10.1","","-8.9","","26.9","","0.0","","","","","","15.8","","43","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-07","2022","01","07","","-4.2","","-7.9","","-6.0","","24.0","","0.0","","","","","","23.7","","58","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-08","2022","01","08","","1.0","","-6.6","","-2.8","","20.8","","0.0","","","","","","0.2","","59","","34","","32",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-09","2022","01","09","","2.3","","-6.7","","-2.2","","20.2","","0.0","","","","","","0.4","","54","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-10","2022","01","10","","0.6","","-8.8","","-4.1","","22.1","","0.0","","","","","","0.0","","50","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-11","2022","01","11","","3.1","","-2.2","","0.5","","17.5","","0.0","","","","","","6.5","","51","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-12","2022","01","12","","2.8","","0.1","","1.5","","16.5","","0.0","","","","","","12.3","","50","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-13","2022","01","13","","4.3","","0.7","","2.5","","15.5","","0.0","","","","","","0.0","","46","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-14","2022","01","14","","3.7","","0.8","","2.2","","15.8","","0.0","","","","","","0.0","","42","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-15","2022","01","15","","6.8","","-0.1","","3.4","","14.6","","0.0","","","","","","1.7","","37","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-16","2022","01","16","","4.9","","-1.2","","1.8","","16.2","","0.0","","","","","","1.8","","35","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-17","2022","01","17","","5.2","","0.7","","3.0","","15.0","","0.0","","","","","","0.7","","33","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-18","2022","01","18","","6.4","","-2.9","","1.7","","16.3","","0.0","","","","","","0.2","","31","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-19","2022","01","19","","0.6","","-3.5","","-1.5","","19.5","","0.0","","","","","","0.0","","30","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-20","2022","01","20","","0.8","","-1.9","","-0.5","","18.5","","0.0","","","","","","15.1","","30","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-21","2022","01","21","","2.2","","-1.1","","0.6","","17.4","","0.0","","","","","","0.0","","41","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-22","2022","01","22","","3.8","","-1.1","","1.3","","16.7","","0.0","","","","","","0.9","","39","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-23","2022","01","23","","0.8","","-1.4","","-0.3","","18.3","","0.0","","","","","","0.0","","38","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-24","2022","01","24","","3.7","","-1.9","","0.9","","17.1","","0.0","","","","","","0.3","","38","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-25","2022","01","25","","0.6","","-2.6","","-1.0","","19.0","","0.0","","","","","","0.4","","37","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-26","2022","01","26","","1.0","","-2.6","","-0.8","","18.8","","0.0","","","","","","0.0","","36","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-27","2022","01","27","","0.0","","-3.5","","-1.7","","19.7","","0.0","","","","","","0.0","","37","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-28","2022","01","28","","0.1","","-7.0","","-3.4","","21.4","","0.0","","","","","","0.0","","37","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-29","2022","01","29","","-1.2","","-7.4","","-4.3","","22.3","","0.0","","","","","","0.0","","37","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-30","2022","01","30","","-0.5","","-3.0","","-1.8","","19.8","","0.0","","","","","","8.0","","33","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-01-31","2022","01","31","","5.2","","-3.8","","0.7","","17.3","","0.0","","","","","","2.6","","46","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-01","2022","02","01","","3.5","","-6.4","","-1.4","","19.4","","0.0","","","","","","1.5","","43","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-02","2022","02","02","","-3.1","","-12.7","","-7.9","","25.9","","0.0","","","","","","0.9","","45","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-03","2022","02","03","","-2.8","","-7.3","","-5.0","","23.0","","0.0","","","","","","2.3","","49","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-04","2022","02","04","","-0.9","","-4.7","","-2.8","","20.8","","0.0","","","","","","6.4","","49","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-05","2022","02","05","","7.9","","-2.3","","2.8","","15.2","","0.0","","","","","","2.0","","54","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-06","2022","02","06","","6.5","","-3.4","","1.6","","16.4","","0.0","","","","","","0.2","","48","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-07","2022","02","07","","8.5","","-3.6","","2.5","","15.5","","0.0","","","","","","0.0","","47","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-08","2022","02","08","","5.0","","-2.0","","1.5","","16.5","","0.0","","","","","","0.0","","46","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-09","2022","02","09","","4.4","","-0.6","","1.9","","16.1","","0.0","","","","","","1.3","","45","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","2022-02-10","2022","02","10","","7.6","","-2.5","","2.5","","15.5","","0.0","","","","","","","M","42","","","","",""
