"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.82","50.27","NAKUSP CS","1145297","1991-02","1991","02","4.9","","-1.0","","2.0","","9.6","","-4.6","","0.0","I","0.0","I","66.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-03","1991","03","6.3","","-2.7","","1.8","","15.1","","-8.0","","","","","","45.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-04","1991","04","14.0","","0.9","","7.5","","21.1","","-2.0","","","","","","67.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-05","1991","05","18.9","","6.1","","12.5","","26.1","","-0.3","","","","","","74.4","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-06","1991","06","20.9","","9.2","","15.1","","29.3","","3.1","S","","","","","56.2","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-07","1991","07","25.6","","11.6","","18.6","","32.3","","5.5","","","","","","53.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-08","1991","08","26.7","","13.1","","19.9","","34.6","","9.0","","","","","","39.4","","0","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-09","1991","09","20.7","","7.1","","14.0","","25.1","","2.2","","","","","","17.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-10","1991","10","12.0","","1.1","","6.6","","22.5","","-8.4","","","","","","22.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-11","1991","11","4.0","","-0.9","","1.6","","11.5","","-6.1","","","","","","100.2","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1991-12","1991","12","1.9","","-2.0","","0.0","","6.7","","-7.4","S","","","","","56.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-01","1992","01","2.3","","-1.6","","0.3","","6.7","","-7.6","","","","","","133.8","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-02","1992","02","3.9","","-0.2","","1.8","","8.5","","-3.3","","","","","","59.4","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-03","1992","03","10.9","","-0.3","","5.3","","14.4","","-3.6","","","","","","42.8","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-04","1992","04","13.6","","2.9","E","8.2","E","18.9","","-3.4","E","","","","","98.2","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-05","1992","05","20.4","","6.2","","13.3","","27.9","","0.3","","","","","","72.4","","0","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-06","1992","06","27.0","","11.6","","19.3","","34.9","","4.1","","","","","","46.6","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-07","1992","07","25.5","","12.0","","18.8","","34.6","","7.5","","","","","","64.4","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-08","1992","08","25.7","E","11.3","E","18.5","E","34.4","E","4.2","E","","","","","66.2","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-09","1992","09","16.6","E","5.7","E","11.2","E","26.0","E","-0.5","","","","","","101.6","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-10","1992","10","10.8","E","3.6","E","7.2","E","18.1","","-2.5","","","","","","87.6","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-11","1992","11","3.9","E","0.3","E","2.1","E","10.0","E","-4.0","","","","","","114.2","","","M","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1992-12","1992","12","-2.3","","-7.2","","-4.8","","7.1","","-16.5","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-01","1993","01","-3.6","","-8.6","","-6.1","","7.1","","-15.8","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-02","1993","02","-0.2","","-7.0","","-3.6","","5.5","","-16.3","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-03","1993","03","6.9","","-2.6","","2.2","","11.5","","-9.3","","","","","","79.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-04","1993","04","13.1","E","3.1","","8.1","E","16.5","","-1.6","","","","","","76.2","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-05","1993","05","22.7","","7.8","","15.3","","30.3","","0.1","","","","","","113.6","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-06","1993","06","21.8","","10.4","","16.2","","28.4","S","7.3","","","","","","161.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-07","1993","07","22.7","","11.2","","17.0","","26.7","","8.0","","","","","","120.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-08","1993","08","24.1","","10.9","","17.5","","30.3","","6.2","","","","","","68.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-09","1993","09","20.5","","6.6","","13.6","","27.0","","2.1","","","","","","41.6","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-10","1993","10","13.0","","4.1","","8.6","","20.5","","-1.3","","","","","","56.0","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-11","1993","11","3.0","","-2.9","","0.0","","11.6","","-13.7","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1993-12","1993","12","1.1","","-2.4","","-0.7","","6.6","","-6.8","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-01","1994","01","3.5","","-0.6","","1.5","","8.1","","-5.4","","","","","","81.8","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-02","1994","02","0.5","","-4.8","","-2.2","","5.2","","-15.5","","","","","","","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-03","1994","03","9.2","","-1.6","","3.8","","16.7","","-6.6","","","","","","30.6","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-04","1994","04","14.6","","3.6","","9.1","","20.4","","0.0","","","","","","50.4","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-05","1994","05","19.8","","6.7","","13.3","","26.9","","1.1","","","","","","60.4","","","","","","",""
"-117.82","50.27","NAKUSP CS","1145297","1994-06","1994","06","22.2","","9.3","","15.7","","30.9","","4.9","","","","","","85.0","","","","","","",""
