"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.31","49.49","NELSON CS","1145M29","1992-01","1992","01","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-02","1992","02","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-03","1992","03","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-04","1992","04","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-05","1992","05","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-06","1992","06","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-07","1992","07","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-08","1992","08","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-09","1992","09","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-10","1992","10","","M","","M","","M","","M","","M","","","","","","M","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-11","1992","11","4.4","E","0.8","E","2.6","E","11.1","E","-3.4","E","","","","","76.2","E","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1992-12","1992","12","-1.3","","-5.4","","-3.4","","4.7","","-11.3","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-01","1993","01","-1.5","","-6.5","","-4.0","","4.7","S","-14.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-02","1993","02","1.8","","-4.7","","-1.5","","7.4","","-13.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-03","1993","03","7.9","","-0.5","","3.7","","13.9","","-6.4","","","","","","51.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-04","1993","04","12.6","","3.9","","8.2","","17.7","","-0.5","","","","","","93.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-05","1993","05","22.6","","8.0","","15.3","","32.7","","4.0","","","","","","79.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-06","1993","06","21.4","","10.4","","15.9","","30.2","","7.3","","","","","","73.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-07","1993","07","21.5","","11.0","","16.3","","26.9","S","7.3","","","","","","64.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-08","1993","08","24.6","","11.2","","18.0","","31.7","","6.3","","","","","","98.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-09","1993","09","21.2","E","7.7","","14.4","E","29.2","E","3.8","","","","","","38.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-10","1993","10","14.8","","4.4","","9.6","","23.1","","-1.0","","","","","","29.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-11","1993","11","3.3","","-2.8","","0.3","","12.5","","-12.8","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1993-12","1993","12","1.0","","-2.2","","-0.6","","6.3","","-6.2","","","","","","120.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-01","1994","01","3.8","","-0.4","","1.7","","7.1","","-5.6","","","","","","76.6","E","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-02","1994","02","1.0","","-4.1","","-1.6","","5.6","","-14.2","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-03","1994","03","10.0","","-0.7","","4.6","","18.3","S","-5.1","S","","","","","40.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-04","1994","04","15.0","","4.6","","9.9","","25.5","","0.5","","","","","","58.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-05","1994","05","19.8","","7.1","","13.5","","28.5","","2.8","","","","","","58.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-06","1994","06","21.7","","9.3","","15.5","","31.5","","6.4","","","","","","102.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-07","1994","07","29.3","","13.6","","21.5","","38.1","","8.7","","","","","","12.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-08","1994","08","28.4","","13.4","","20.9","","36.4","","8.8","","","","","","15.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-09","1994","09","24.0","","9.4","","16.8","","28.9","","5.7","","","","","","29.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-10","1994","10","13.2","","4.1","","8.7","","20.0","","0.5","","","","","","54.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-11","1994","11","2.5","","-1.6","","0.5","","8.5","","-8.2","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1994-12","1994","12","0.9","","-3.3","","-1.2","","7.7","","-13.1","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-01","1995","01","0.4","","-2.2","","-0.9","","4.5","","-8.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-02","1995","02","4.5","","-2.4","","1.0","","13.2","","-13.9","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-03","1995","03","7.7","","-0.9","","3.4","","17.6","","-9.9","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-04","1995","04","13.4","","2.4","","7.9","","22.1","","-0.8","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-05","1995","05","20.8","","7.0","","13.9","","31.0","","2.7","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-06","1995","06","22.6","","10.1","","16.4","","30.7","","4.2","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-07","1995","07","26.5","","13.0","","19.8","","35.0","","9.4","","","","","","29.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-08","1995","08","22.9","","10.1","","16.5","","34.2","","6.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-09","1995","09","22.2","E","9.0","E","15.6","E","29.6","E","4.3","E","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-10","1995","10","11.0","","3.3","","7.2","","16.9","","-3.9","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-11","1995","11","5.8","","0.3","","3.1","","13.0","","-6.2","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1995-12","1995","12","1.0","","-2.8","","-0.9","","8.5","","-15.7","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-01","1996","01","-1.0","","-5.9","","-3.5","","6.2","","-17.4","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-02","1996","02","2.7","","-5.1","","-1.2","","8.2","","-15.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-03","1996","03","7.4","","-1.6","","2.9","","14.0","","-8.0","","","","","","21.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-04","1996","04","13.4","","2.7","","8.1","","19.1","","-2.6","","","","","","69.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-05","1996","05","14.4","","5.5","E","10.1","E","25.7","","1.5","E","","","","","104.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-06","1996","06","21.9","","8.9","","15.4","","31.4","","5.4","","","","","","39.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-07","1996","07","28.0","","12.1","E","20.1","E","35.3","","8.4","E","","","","","21.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-08","1996","08","26.4","","11.8","","19.1","","35.3","","8.4","","","","","","14.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-09","1996","09","18.9","","7.8","","13.3","","26.2","","0.5","","","","","","36.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-10","1996","10","11.1","","3.2","","7.2","","19.4","","-2.7","","","","","","88.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-11","1996","11","3.1","","-0.9","","1.1","","9.5","","-10.9","","","","","","77.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1996-12","1996","12","-1.7","","-5.7","","-3.7","","3.4","S","-14.6","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-01","1997","01","0.4","","-4.4","","-2.0","","6.9","","-16.0","","","","","","64.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-02","1997","02","4.2","","-2.9","","0.7","","10.0","","-8.6","S","","","","","28.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-03","1997","03","6.8","","-1.1","","2.9","","16.4","","-8.7","","","","","","77.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-04","1997","04","12.2","","1.4","","6.8","","17.4","","-3.5","S","","","","","50.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-05","1997","05","18.1","","6.1","","12.1","","25.9","","1.9","","","","","","58.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-06","1997","06","21.3","","9.3","","15.3","","28.3","","7.0","","","","","","70.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-07","1997","07","24.5","E","11.9","E","18.2","E","31.7","E","9.1","E","","","","","41.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-08","1997","08","26.5","","12.3","","19.4","","33.5","","8.5","","","","","","17.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-09","1997","09","20.1","","9.4","","14.8","","26.9","","5.5","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-10","1997","10","11.8","","4.4","","8.1","","17.2","","-0.2","","","","","","55.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-11","1997","11","7.1","","0.4","","3.8","","11.9","","-5.4","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1997-12","1997","12","2.1","","-1.5","","0.3","","8.1","","-8.2","","","","","","35.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-01","1998","01","1.2","","-3.0","","-0.9","","7.8","","-15.6","","","","","","13.0","I","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-02","1998","02","5.7","","0.3","","3.0","","9.6","","-5.2","","","","","","37.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-03","1998","03","9.0","","1.1","","5.1","","17.4","","-3.7","","","","","","55.6","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-04","1998","04","15.9","","3.0","","9.4","","24.0","","-2.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-05","1998","05","21.5","","7.8","","14.6","","30.0","","3.1","","","","","","91.0","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-06","1998","06","22.6","","10.4","","16.5","","28.7","","7.3","","","","","","52.4","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-07","1998","07","28.5","","14.9","","21.7","","36.3","","11.5","","","","","","55.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-08","1998","08","29.3","","13.6","","21.5","","35.7","","8.2","","","","","","7.2","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-09","1998","09","26.0","","11.1","","18.6","","34.7","","5.4","","","","","","14.8","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-10","1998","10","12.0","","4.7","","8.4","","18.1","","0.2","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","1998-11","1998","11","6.7","","2.5","","4.6","","11.1","","-2.6","","","","","","","","","","","","",""
