"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-02","2017","01","02","","-7.3","","-17.2","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","33","","35",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-03","2017","01","03","","-10.6","","-21.4","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-04","2017","01","04","","-11.9","","-22.6","","-17.3","","35.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-05","2017","01","05","","-10.9","","-17.6","","-14.3","","32.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-06","2017","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-07","2017","01","07","","-7.0","","-15.1","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-08","2017","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-09","2017","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-10","2017","01","10","","-6.7","","-14.3","","-10.5","","28.5","","0.0","","","M","","M","0.0","","","","35","","63",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-11","2017","01","11","","-10.6","","-18.9","","-14.8","","32.8","","0.0","","","M","","M","0.0","","","","32","","50",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-12","2017","01","12","","-13.3","","-22.5","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-13","2017","01","13","","-11.9","","-16.1","","-14.0","","32.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-14","2017","01","14","","-10.7","","-14.7","","-12.7","","30.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-15","2017","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-16","2017","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-17","2017","01","17","","1.1","","-3.0","","-1.0","","19.0","","0.0","","","M","","M","4.0","","","","19","","54",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-18","2017","01","18","","2.2","","0.2","","1.2","","16.8","","0.0","","","M","","M","6.1","","","","15","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-19","2017","01","19","","2.6","","0.0","","1.3","","16.7","","0.0","","","M","","M","3.9","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-20","2017","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-21","2017","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-22","2017","01","22","","1.7","","-3.5","","-0.9","","18.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-23","2017","01","23","","2.2","","-5.5","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-24","2017","01","24","","0.1","","-5.0","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-25","2017","01","25","","0.4","","-3.0","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-26","2017","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-27","2017","01","27","","2.3","","-2.0","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-28","2017","01","28","","2.7","","-0.3","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","16","","52",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-29","2017","01","29","","3.9","","0.2","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","17","","76",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-30","2017","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-01-31","2017","01","31","","-1.5","","-11.2","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","31","","41",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-02-01","2017","02","01","","-3.8","","-15.1","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-118.18","50.97","REVELSTOKE A","1176745","2017-02-02","2017","02","02","","-6.4","","-17.1","","-11.8","","29.8","","0.0","","","M","","M","0.0","","","","","","<31",""
