"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.18","50.96","REVELSTOKE A","1176749","1990-01","1990","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-02","1990","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-03","1990","03","9.0","","-1.7","","3.7","","","M","-8.3","","","M","","M","34.4","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-04","1990","04","15.7","","3.7","","9.7","","20.7","","-0.4","","","M","","M","32.8","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-05","1990","05","18.5","","7.3","","12.9","","26.8","","3.8","","","M","","M","92.0","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-06","1990","06","21.5","","10.3","","15.9","","28.8","","5.5","","","M","","M","129.0","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-07","1990","07","26.9","","13.3","","20.1","","32.4","","8.3","","0.0","","0.0","","44.6","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-08","1990","08","25.1","","12.8","","19.0","","33.6","","8.6","","","M","","M","69.4","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-09","1990","09","21.7","","9.6","","15.7","","26.9","","5.9","","0.0","","0.0","","9.8","","","","","","",""
"-118.18","50.96","REVELSTOKE A","1176749","1990-10","1990","10","9.5","","4.4","","7.0","","14.0","","1.5","","","M","","M","","M","","","","","",""
