FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
114,,1919,Person,1919-114,718.7,linens,,2.00705E+13,19190923,digitised,JA70003000,,1960546,7187146.571,12383.3801,,
118,,1919,Person,1919-118,71.7,linens,,2.00705E+13,19190715,assumed_shape,JA70003000,,1960547,717455.9864,3549.4426,,
119,,1919,Person,1919-119,162.7,linens,,2.00705E+13,19191007,digitised,JA70003000,,1960548,1627569.492,6136.542,,
12,,1919,Person,Dec-19,52.7,linens,,2.00705E+13,19190619,digitised,JA70003000,,1960549,527401.5003,2768.0699,,
122,,1919,Person,1919-122,1336.5,linens,,2.00705E+13,19190830,digitised,JA70003000,,1960550,13365385.91,15084.4968,,
29a,,1917,Person,1917-29a,368.7,linens,,2.00705E+13,19170721,digitised,JA70003000,,1960285,3687044.381,11885.5132,,
3,,1918,Person,Mar-18,87.6,linens,,2.00705E+13,19180509,digitised,JA70003000,,1960286,876990.8126,4242.3611,,
367a,,1918,Person,1918-367a,69.2,linens,,2.00705E+13,19180628,assumed_shape,JA70003000,,1960527,692053.0258,3489.4806,,
398,,1918,Person,1918-398,64.7,linens,,2.00705E+13,19180923,digitised,JA70003000,,1960528,647224.931,5795.888,,
1,,1919,Person,Jan-19,41.8,linens,,2.00705E+13,19190426,digitised,JA70003000,,1960529,418278.4296,2904.871,,
1,,1919,Person,Jan-19,177.6,linens,,2.00705E+13,19190605,digitised,JA70003000,,1960530,1776136.008,9225.8502,,
10,,1919,Person,Oct-19,100.5,linens,,2.00705E+13,19190522,digitised,JA70003000,,1960531,1005611.543,4100.3285,,
100,,1919,Person,1919-100,30.5,linens,,2.00705E+13,19190726,digitised,JA70003000,,1960532,305258.4195,2233.9435,,
102,,1919,Lightning,1919-102,872.2,linens,,2.00705E+13,19190818,digitised,JA70003000,,1960533,8722849.838,15326.2936,,
105,,1919,Person,1919-105,121.7,linens,,2.00705E+13,19190730,digitised,JA70003000,,1960534,1217534.187,5034.5335,,
106,,1919,Lightning,1919-106,760.3,linens,,2.00705E+13,19190731,assumed_shape,JA70003000,,1960535,7603030.426,12007.9969,,
106a,,1919,Person,1919-106a,1499.4,linens,,2.00705E+13,19190827,digitised,JA70003000,,1960536,14994051.9,18638.135,,
107,,1919,Lightning,1919-107,597.8,linens,,2.00705E+13,19190816,digitised,JA70003000,,1960537,5978017.45,11378.2063,,
109,,1919,Lightning,1919-109,55.6,linens,,2.00705E+13,19190908,assumed_shape,JA70003000,,1960538,556818.5386,2712.1349,,
11,,1919,Person,Nov-19,67.6,linens,,2.00705E+13,19190617,digitised,JA70003000,,1960539,676084.7833,3021.7439,,
110,,1919,Person,1919-110,659.4,linens,,2.00705E+13,19190818,digitised,JA70003000,,1960540,6594343.919,12552.2741,,
110a,,1919,Lightning,1919-110a,3787.2,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960541,37872666.04,25660.314,,
111,,1919,Person,1919-111,87.8,linens,,2.00705E+13,19190726,assumed_shape,JA70003000,,1960542,878458.5986,4407.0809,,
112,,1919,Person,1919-112,149,linens,,2.00705E+13,19190717,assumed_shape,JA70003000,,1960543,1490265.208,5078.2245,,
113,,1919,Person,1919-113,116.4,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960544,1164519.89,4329.6686,,
114,,1919,Lightning,1919-114,214.9,linens,,2.00705E+13,19190716,digitised,JA70003000,,1960545,2149865.107,5694.7288,,
160,,1919,Person,1919-160,638.7,linens,,2.00705E+13,19190814,digitised,JA70003000,,1960568,6387043.198,10479.7841,,
161a,,1919,Lightning,1919-161a,18.4,linens,,2.00705E+13,19190801,digitised,JA70003000,,1960569,184626.1732,1720.8405,,
169,,1919,Lightning,1919-169,1336.4,linens,,2.00705E+13,19190817,digitised,JA70003000,,1960570,13364561.62,18181.2286,,
181,,1919,Person,1919-181,76.3,linens,,2.00705E+13,19190713,digitised,JA70003000,,1960571,763702.9305,4318.7796,,
188,,1919,Person,1919-188,44.7,linens,,2.00705E+13,19190929,assumed_shape,JA70003000,,1960572,447715.8878,2443.9708,,
22,,1919,Person,1919-22,184.3,linens,,2.00705E+13,19190513,digitised,JA70003000,,1960586,1843471.735,6428.6471,,
22,,1919,Person,1919-22,128.5,linens,,2.00705E+13,19190619,digitised,JA70003000,,1960587,1285600.182,4593.2741,,
239,,1919,Person,1919-239,118.6,linens,,2.00705E+13,19190822,assumed_shape,JA70003000,,1960588,1186445.653,4471.8641,,
24,,1919,Person,1919-24,198.9,linens,,2.00705E+13,19190418,digitised,JA70003000,,1960589,1989055.903,10458.9134,,
242,,1919,Person,1919-242,51,linens,,2.00705E+13,19190716,assumed_shape,JA70003000,,1960590,510440.5721,3145.3868,,
245,,1919,Person,1919-245,59.8,linens,,2.00705E+13,19190828,assumed_shape,JA70003000,,1960591,598055.8125,3076.0317,,
254a,,1919,Person,1919-254a,21.9,linens,,2.00705E+13,19190728,digitised,JA70003000,,1960592,219173.4518,1817.1527,,
25c,,1919,Person,1919-25c,131.7,linens,,2.00705E+13,19190525,digitised,JA70003000,,1960593,1317072.177,4430.6338,,
268,,1919,Person,1919-268,10.4,linens,,2.00705E+13,19190823,digitised,JA70003000,,1960594,104252.9882,1240.4514,,
27,,1919,Person,1919-27,716.1,linens,,2.00705E+13,19190606,digitised,JA70003000,,1960595,7161460.257,11619.4899,,
27,,1919,Person,1919-27,173.2,linens,,2.00705E+13,19190606,digitised,JA70003000,,1960596,1732821.004,7310.4197,,
27,,1919,Person,1919-27,610.5,linens,,2.00705E+13,19190721,assumed_shape,JA70003000,,1960597,6105724.964,13443.9693,,
19,,1919,Person,1919-19,81.8,linens,,2.00705E+13,19190521,digitised,JA70003000,,1960573,818921.7235,4072.4735,,
19,,1919,Person,1919-19,122.4,linens,,2.00705E+13,19190522,digitised,JA70003000,,1960574,1224776.7,5693.3651,,
192,,1919,Person,1919-192,125.5,linens,,2.00705E+13,19190709,digitised,JA70003000,,1960575,1255855.765,4339.0174,,
192,,1919,Person,1919-192,155.1,linens,,2.00705E+13,19190709,assumed_shape,JA70003000,,1960576,1551920.736,6757.096,,
194,,1919,Person,1919-194,131.8,linens,,2.00705E+13,19190711,assumed_shape,JA70003000,,1960577,1318459.702,4932.8602,,
197,,1919,Person,1919-197,57.4,linens,,2.00705E+13,19190727,assumed_shape,JA70003000,,1960578,574961.2519,3059.404,,
2,,1919,Person,Feb-19,64.9,linens,,2.00705E+13,19190607,assumed_shape,JA70003000,,1960579,649573.0473,5134.5643,,
20,,1919,Person,1919-20,99.4,linens,,2.00705E+13,19190528,digitised,JA70003000,,1960580,994508.2997,3670.4636,,
20,,1919,Person,1919-20,151.4,linens,,2.00705E+13,19190621,digitised,JA70003000,,1960581,1514709.278,5258.1447,,
201,,1919,Person,1919-201,326.1,linens,,2.00705E+13,19190727,assumed_shape,JA70003000,,1960582,3261631.045,7342.751,,
21,,1919,Person,1919-21,90.8,linens,,2.00705E+13,19190622,digitised,JA70003000,,1960583,908970.9921,5282.2959,,
212,,1919,Person,1919-212,138,linens,,2.00705E+13,19190808,digitised,JA70003000,,1960584,1380510.109,5600.285,,
215,,1919,Person,1919-215,53.2,linens,,2.00705E+13,19190810,digitised,JA70003000,,1960585,532794.9575,3488.2858,,
123,,1919,Person,1919-123,124.3,linens,,2.00705E+13,19190719,digitised,JA70003000,,1960551,1243627.599,4621.034,,
125,,1919,Person,1919-125,507.1,linens,,2.00705E+13,19190716,assumed_shape,JA70003000,,1960552,5071639.329,8383.0748,,
126,,1919,Person,1919-126,167.5,linens,,2.00705E+13,19190728,assumed_shape,JA70003000,,1960553,1675898.245,6010.4312,,
129,,1919,Person,1919-129,66.9,linens,,2.00705E+13,19190815,digitised,JA70003000,,1960554,669224.3458,3118.763,,
13,,1919,Lightning,1919-13,130.6,linens,,2.00705E+13,19190517,digitised,JA70003000,,1960555,1306160.087,4861.2602,,
131z,,1919,Person,1919-131z,53.2,linens,,2.00705E+13,19190723,digitised,JA70003000,,1960556,532752.5977,2845.7053,,
134,,1919,Lightning,1919-134,253.1,linens,,2.00705E+13,19190820,digitised,JA70003000,,1960557,2531026.633,7891.0629,,
136,,1919,Person,1919-136,494.7,linens,,2.00705E+13,19190715,assumed_shape,JA70003000,,1960558,4947756.185,14072.1513,,
14,,1919,Lightning,1919-14,119.6,linens,,2.00705E+13,19190607,digitised,JA70003000,,1960559,1196460.533,4422.9076,,
141,,1919,Lightning,1919-141,76.8,linens,,2.00705E+13,19190825,digitised,JA70003000,,1960560,768879.005,3621.5547,,
142,,1919,Person,1919-142,105.1,linens,,2.00705E+13,19190827,digitised,JA70003000,,1960561,1051974.955,4724.1969,,
143,,1919,Person,1919-143,85,linens,,2.00705E+13,19190820,digitised,JA70003000,,1960562,850655.9971,3599.8998,,
147,,1919,Person,1919-147,54.2,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960563,542858.9842,3079.8497,,
149,,1919,Person,1919-149,18.7,linens,,2.00705E+13,19190824,digitised,JA70003000,,1960564,187126.2938,1874.5886,,
150,,1919,Lightning,1919-150,2250.8,linens,,2.00705E+13,19190823,digitised,JA70003000,,1960565,22508783.61,19904.8171,,
151,,1919,Lightning,1919-151,135.3,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960566,1353744.562,5451.1374,,
155,,1919,Lightning,1919-155,88,linens,,2.00705E+13,19190819,digitised,JA70003000,,1960567,880755.4199,4176.7932,,
376,,1919,Person,1919-376,698.6,linens,,2.00705E+13,19190802,digitised,JA70003000,,1960626,6986889.673,12378.0981,,
38,,1919,Person,1919-38,22.1,linens,,2.00705E+13,19190710,digitised,JA70003000,,1960627,221278.0954,2023.8374,,
386a,,1919,Person,1919-386a,49.5,linens,,2.00705E+13,19190725,assumed_shape,JA70003000,,1960628,495225.478,3240.9008,,
39,,1919,Lightning,1919-39,104.8,linens,,2.00705E+13,19190713,assumed_shape,JA70003000,,1960629,1048946.513,4182.188,,
397,,1919,Person,1919-397,1330.3,linens,,2.00705E+13,19190902,assumed_shape,JA70003000,,1960630,13303650.22,15896.1292,,
399,,1919,Person,1919-399,50.1,linens,,2.00705E+13,19190812,digitised,JA70003000,,1960631,501258.4332,2922.3956,,
4,,1919,Person,Apr-19,33.1,linens,,2.00705E+13,19190505,digitised,JA70003000,,1960632,331368.4865,2434.493,,
4,,1919,Person,Apr-19,16.8,linens,,2.00705E+13,19190613,assumed_shape,JA70003000,,1960633,168314.1459,2056.3746,,
406,,1919,Person,1919-406,108.6,linens,,2.00705E+13,19190926,assumed_shape,JA70003000,,1960634,1086205.629,4490.2211,,
409a,,1919,Person,1919-409a,512.7,linens,,2.00705E+13,19190903,assumed_shape,JA70003000,,1960635,5127346.99,11954.4229,,
41,,1919,Person,1919-41,320.1,linens,,2.00705E+13,19190622,assumed_shape,JA70003000,,1960636,3201691.376,8702.31,,
41,,1919,Person,1919-41,14,linens,,2.00705E+13,19190706,digitised,JA70003000,,1960637,140188.4435,1784.3589,,
41,,1919,Person,1919-41,74.8,linens,,2.00705E+13,19190608,assumed_shape,JA70003000,,1960638,748149.3792,3724.9769,,
28,,1919,Person,1919-28,42.8,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960598,428611.8877,2553.5411,,
28,,1919,Person,1919-28,74.3,linens,,2.00705E+13,19190811,digitised,JA70003000,,1960599,743580.1948,4957.93,,
28,,1919,Person,1919-28,170.4,linens,,2.00705E+13,19190618,digitised,JA70003000,,1960600,1704184.095,5773.2495,,
29,,1919,Person,1919-29,1538.3,linens,,2.00705E+13,19190607,digitised,JA70003000,,1960601,15383931.18,15845.6644,,
296,,1919,Person,1919-296,25.3,linens,,2.00705E+13,19190820,assumed_shape,JA70003000,,1960602,253512.3878,1848.3361,,
30,,1919,Person,1919-30,100.3,linens,,2.00705E+13,19190716,digitised,JA70003000,,1960603,1003975.581,3864.6133,,
30,,1919,Person,1919-30,612.7,linens,,2.00705E+13,19190620,digitised,JA70003000,,1960604,6127565.098,13639.3535,,
300,,1919,Person,1919-300,30.4,linens,,2.00705E+13,19190720,digitised,JA70003000,,1960605,304415.4269,2499.2462,,
304,,1919,Person,1919-304,371.6,linens,,2.00705E+13,19190830,assumed_shape,JA70003000,,1960606,3716921.827,7854.0026,,
306a,,1919,Person,1919-306a,75.4,linens,,2.00705E+13,19190815,assumed_shape,JA70003000,,1960607,754573.4096,3565.1161,,
317,,1919,Person,1919-317,45.8,linens,,2.00705E+13,19190808,digitised,JA70003000,,1960608,458458.5276,2883.599,,
32,,1919,Person,1919-32,1624.3,linens,,2.00705E+13,19190620,digitised,JA70003000,,1960609,16243645.88,17763.6245,,
327,,1919,Person,1919-327,359.4,linens,,2.00705E+13,19190826,digitised,JA70003000,,1960610,3594506.62,7973.8157,,
328,,1919,Person,1919-328,185.8,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960611,1858633.547,6058.8665,,
329,,1919,Person,1919-329,169.7,linens,,2.00705E+13,19190820,assumed_shape,JA70003000,,1960612,1697993.322,5445.3191,,
330,,1919,Person,1919-330,29.6,linens,,2.00705E+13,19190818,assumed_shape,JA70003000,,1960613,296635.8407,2531.8417,,
34,,1919,Person,1919-34,2943.6,linens,,2.00705E+13,19190617,digitised,JA70003000,,1960614,29436326.91,26879.7166,,
342,,1919,Person,1919-342,99.6,linens,,2.00705E+13,19190811,digitised,JA70003000,,1960615,996494.3338,3606.2319,,
346,,1919,Person,1919-346,40.1,linens,,2.00705E+13,19190827,assumed_shape,JA70003000,,1960616,401937.2229,3701.1512,,
347,,1919,Person,1919-347,61.9,linens,,2.00705E+13,19190828,digitised,JA70003000,,1960617,619053.0496,3078.2621,,
348,,1919,Person,1919-348,126.6,linens,,2.00705E+13,19190722,digitised,JA70003000,,1960618,1266533.25,4509.2985,,
